name,address,lon,lat,to_lon,to_lat,total_spots,risk_level,dispatch_qty,distance_km
龙联社区公园-停车场,南山区龙联社区公园,113.9067,22.5798,113.9101,22.5774,62,低风险,52,0.9
麻磡社区公园-停车场,南山区麻磡社区公园,113.9612,22.5946,113.9645,22.5922,58,中风险,48,0.8
白芒社区公园-停车场,南山区白芒社区公园,113.9712,22.5898,113.9745,22.5874,54,低风险,45,0.9
牛成社区公园-停车场,南山区牛成社区公园,113.9667,22.5848,113.9701,22.5824,68,中风险,57,0.8
九祥岭社区公园-停车场,南山区九祥岭社区公园,113.9467,22.5798,113.9501,22.5774,62,低风险,52,0.9
塘朗社区公园-停车场,南山区塘朗社区公园,113.9312,22.5698,113.9345,22.5674,58,中风险,48,0.8
福光社区公园-停车场,南山区福光社区公园,113.9367,22.5748,113.9401,22.5724,54,低风险,45,0.9
长源社区公园-停车场,南山区长源社区公园,113.9412,22.5798,113.9445,22.5774,68,中风险,57,0.8
西丽湖社区公园-停车场,南山区西丽湖社区公园,113.9512,22.5846,113.9545,22.5822,62,低风险,52,0.9
大磡社区公园-停车场,南山区大磡社区公园,113.9767,22.5998,113.9801,22.5974,58,中风险,48,0.8
红花岭社区公园-停车场,南山区红花岭社区公园,113.9212,22.5598,113.9245,22.5574,68,低风险,57,0.8
平山社区公园-停车场,南山区平山社区公园,113.9167,22.5548,113.9201,22.5524,62,中风险,52,0.9
松坪山社区公园-停车场,南山区松坪山社区公园,113.9112,22.5598,113.9145,22.5574,58,低风险,48,0.8
朗山路社区公园-停车场,南山区朗山路社区公园,113.9267,22.5548,113.9301,22.5524,54,中风险,45,0.9
高新北社区公园-停车场,南山区高新北社区公园,113.9312,22.5498,113.9345,22.5474,68,低风险,57,0.8
高新南社区公园-停车场,南山区高新南社区公园,113.9412,22.5398,113.9445,22.5374,62,中风险,52,0.9
科技园北社区公园-停车场,南山区科技园北社区公园,113.9367,22.5448,113.9401,22.5424,58,低风险,48,0.8
科技园南社区公园-停车场,南山区科技园南社区公园,113.9467,22.5348,113.9501,22.5324,54,中风险,45,0.9
粤海北社区公园-停车场,南山区粤海北社区公园,113.9267,22.5398,113.9301,22.5374,68,低风险,57,0.8
粤海南社区公园-停车场,南山区粤海南社区公园,113.9367,22.5298,113.9401,22.5274,62,中风险,52,0.9
后海北社区公园-停车场,南山区后海北社区公园,113.9412,22.5298,113.9445,22.5274,58,低风险,48,0.8
后海南社区公园-停车场,南山区后海南社区公园,113.9467,22.5248,113.9501,22.5224,54,中风险,45,0.9
招商北社区公园-停车场,南山区招商北社区公园,113.8967,22.4998,113.9001,22.4974,68,低风险,57,0.8
招商南社区公园-停车场,南山区招商南社区公园,113.8912,22.4948,113.8945,22.4924,62,中风险,52,0.9
蛇口北社区公园-停车场,南山区蛇口北社区公园,113.8867,22.4998,113.8901,22.4974,58,低风险,48,0.8
蛇口南社区公园-停车场,南山区蛇口南社区公园,113.8812,22.4898,113.8845,22.4874,54,中风险,45,0.9
前海北社区公园-停车场,南山区前海北社区公园,113.8667,22.5498,113.8701,22.5474,68,低风险,57,0.8
前海南社区公园-停车场,南山区前海南社区公园,113.8612,22.5448,113.8645,22.5424,62,中风险,52,0.9
桂庙北社区公园-停车场,南山区桂庙北社区公园,113.9167,22.5298,113.9201,22.5274,58,低风险,48,0.8
桂庙南社区公园-停车场,南山区桂庙南社区公园,113.9212,22.5248,113.9245,22.5224,54,中风险,45,0.9
大冲北社区公园-停车场,南山区大冲北社区公园,113.9267,22.5348,113.9301,22.5324,68,低风险,57,0.8
大冲南社区公园-停车场,南山区大冲南社区公园,113.9312,22.5348,113.9345,22.5324,62,中风险,52,0.9
沙河北社区公园-停车场,南山区沙河北社区公园,113.9412,22.5498,113.9445,22.5474,58,低风险,48,0.8
沙河南社区公园-停车场,南山区沙河南社区公园,113.9467,22.5448,113.9501,22.5424,54,中风险,45,0.9
白石洲北社区公园-停车场,南山区白石洲北社区公园,113.9367,22.5498,113.9401,22.5474,68,低风险,57,0.8
白石洲南社区公园-停车场,南山区白石洲南社区公园,113.9412,22.5448,113.9445,22.5424,62,中风险,52,0.9
西丽北社区公园-停车场,南山区西丽北社区公园,113.9512,22.5848,113.9545,22.5824,58,低风险,48,0.8
西丽南社区公园-停车场,南山区西丽南社区公园,113.9467,22.5798,113.9501,22.5774,54,中风险,45,0.9
桃源北社区公园-停车场,南山区桃源北社区公园,113.9412,22.5698,113.9445,22.5674,68,低风险,57,0.8
桃源南社区公园-停车场,南山区桃源南社区公园,113.9367,22.5648,113.9401,22.5624,62,中风险,52,0.9
留仙洞北社区公园-停车场,南山区留仙洞北社区公园,113.9267,22.5798,113.9301,22.5774,58,低风险,48,0.8
留仙洞南社区公园-停车场,南山区留仙洞南社区公园,113.9212,22.5748,113.9245,22.5724,54,中风险,45,0.9
同乐北社区公园-停车场,南山区同乐北社区公园,113.9167,22.5898,113.9201,22.5874,68,低风险,57,0.8
同乐南社区公园-停车场,南山区同乐南社区公园,113.9112,22.5848,113.9145,22.5824,62,中风险,52,0.9
龙联北社区公园-停车场,南山区龙联北社区公园,113.9067,22.5798,113.9101,22.5774,58,低风险,48,0.8
龙联南社区公园-停车场,南山区龙联南社区公园,113.9012,22.5748,113.9045,22.5724,54,中风险,45,0.9
麻磡北社区公园-停车场,南山区麻磡北社区公园,113.9667,22.5998,113.9701,22.5974,68,低风险,57,0.8
麻磡南社区公园-停车场,南山区麻磡南社区公园,113.9612,22.5948,113.9645,22.5924,62,中风险,52,0.9
白芒北社区公园-停车场,南山区白芒北社区公园,113.9767,22.5898,113.9801,22.5874,58,低风险,48,0.8
白芒南社区公园-停车场,南山区白芒南社区公园,113.9712,22.5848,113.9745,22.5824,54,中风险,45,0.9
牛成北社区公园-停车场,南山区牛成北社区公园,113.9712,22.5898,113.9745,22.5874,68,低风险,57,0.8
牛成南社区公园-停车场,南山区牛成南社区公园,113.9667,22.5848,113.9701,22.5824,62,中风险,52,0.9
九祥岭北社区公园-停车场,南山区九祥岭北社区公园,113.9512,22.5798,113.9545,22.5774,58,低风险,48,0.8
九祥岭南社区公园-停车场,南山区九祥岭南社区公园,113.9467,22.5748,113.9501,22.5724,54,中风险,45,0.9
塘朗北社区公园-停车场,南山区塘朗北社区公园,113.9367,22.5698,113.9401,22.5674,68,低风险,57,0.8
塘朗南社区公园-停车场,南山区塘朗南社区公园,113.9312,22.5648,113.9345,22.5624,62,中风险,52,0.9
福光北社区公园-停车场,南山区福光北社区公园,113.9412,22.5748,113.9445,22.5724,58,低风险,48,0.8
福光南社区公园-停车场,南山区福光南社区公园,113.9367,22.5698,113.9401,22.5674,54,中风险,45,0.9
长源北社区公园-停车场,南山区长源北社区公园,113.9467,22.5798,113.9501,22.5774,68,低风险,57,0.8
长源南社区公园-停车场,南山区长源南社区公园,113.9412,22.5748,113.9445,22.5724,62,中风险,52,0.9
西丽湖北社区公园-停车场,南山区西丽湖北社区公园,113.9567,22.5898,113.9601,22.5874,58,低风险,48,0.8
西丽湖南社区公园-停车场,南山区西丽湖南社区公园,113.9512,22.5848,113.9545,22.5824,54,中风险,45,0.9
大磡北社区公园-停车场,南山区大磡北社区公园,113.9812,22.5998,113.9845,22.5974,68,低风险,57,0.8
大磡南社区公园-停车场,南山区大磡南社区公园,113.9767,22.5948,113.9801,22.5924,62,中风险,52,0.9
红花岭北社区公园-停车场,南山区红花岭北社区公园,113.9267,22.5598,113.9301,22.5574,58,低风险,48,0.8
红花岭南社区公园-停车场,南山区红花岭南社区公园,113.9212,22.5548,113.9245,22.5524,54,中风险,45,0.9
平山西社区公园-停车场,南山区平山西社区公园,113.9167,22.5598,113.9201,22.5574,68,低风险,57,0.8
平山东社区公园-停车场,南山区平山东社区公园,113.9112,22.5548,113.9145,22.5524,62,中风险,52,0.9
松坪山西社区公园-停车场,南山区松坪山西社区公园,113.9067,22.5598,113.9101,22.5574,58,低风险,48,0.8
松坪山东社区公园-停车场,南山区松坪山东社区公园,113.9012,22.5548,113.9045,22.5524,54,中风险,45,0.9
朗山路西社区公园-停车场,南山区朗山路西社区公园,113.9267,22.5598,113.9301,22.5574,68,低风险,57,0.8
朗山路东社区公园-停车场,南山区朗山路东社区公园,113.9212,22.5548,113.9245,22.5524,62,中风险,52,0.9
高新北西社区公园-停车场,南山区高新北西社区公园,113.9312,22.5498,113.9345,22.5474,58,低风险,48,0.8
高新北东社区公园-停车场,南山区高新北东社区公园,113.9267,22.5448,113.9301,22.5424,54,中风险,45,0.9
高新北南社区公园-停车场,南山区高新北南社区公园,113.9312,22.5448,113.9345,22.5424,68,低风险,57,0.8
高新北东社区公园-停车场,南山区高新北东社区公园,113.9267,22.5398,113.9301,22.5374,62,中风险,52,0.9
高新南北社区公园-停车场,南山区高新南北社区公园,113.9312,22.5398,113.9345,22.5374,58,低风险,48,0.8
高新南西社区公园-停车场,南山区高新南西社区公园,113.9412,22.5348,113.9445,22.5324,54,中风险,45,0.9
高新南东社区公园-停车场,南山区高新南东社区公园,113.9467,22.5298,113.9501,22.5274,68,低风险,57,0.8
高新南南社区公园-停车场,南山区高新南南社区公园,113.9412,22.5298,113.9445,22.5274,62,中风险,52,0.9
科技园北西社区公园-停车场,南山区科技园北西社区公园,113.9367,22.5498,113.9401,22.5474,58,低风险,48,0.8
科技园北东社区公园-停车场,南山区科技园北东社区公园,113.9312,22.5448,113.9345,22.5424,54,中风险,45,0.9
科技园北南社区公园-停车场,南山区科技园北南社区公园,113.9367,22.5448,113.9401,22.5424,68,低风险,57,0.8
科技园南西社区公园-停车场,南山区科技园南西社区公园,113.9467,22.5398,113.9501,22.5374,62,中风险,52,0.9
科技园南东社区公园-停车场,南山区科技园南东社区公园,113.9512,22.5348,113.9545,22.5324,58,低风险,48,0.8
科技园南南社区公园-停车场,南山区科技园南南社区公园,113.9467,22.5298,113.9501,22.5274,54,中风险,45,0.9
粤海北西社区公园-停车场,南山区粤海北西社区公园,113.9267,22.5398,113.9301,22.5374,68,低风险,57,0.8
粤海北东社区公园-停车场,南山区粤海北东社区公园,113.9212,22.5348,113.9245,22.5324,62,中风险,52,0.9
粤海北南社区公园-停车场,南山区粤海北南社区公园,113.9267,22.5348,113.9301,22.5324,58,低风险,48,0.8
粤海南西社区公园-停车场,南山区粤海南西社区公园,113.9367,22.5298,113.9401,22.5274,54,中风险,45,0.9
粤海南东社区公园-停车场,南山区粤海南东社区公园,113.9312,22.5248,113.9345,22.5224,68,低风险,57,0.8
粤海南南社区公园-停车场,南山区粤海南南社区公园,113.9367,22.5248,113.9401,22.5224,62,中风险,52,0.9
后海北西社区公园-停车场,南山区后海北西社区公园,113.9412,22.5298,113.9445,22.5274,58,低风险,48,0.8
后海北东社区公园-停车场,南山区后海北东社区公园,113.9367,22.5248,113.9401,22.5224,54,中风险,45,0.9
后海北南社区公园-停车场,南山区后海北南社区公园,113.9412,22.5248,113.9445,22.5224,68,低风险,57,0.8
后海南西社区公园-停车场,南山区后海南西社区公园,113.9467,22.5198,113.9501,22.5174,62,中风险,52,0.9
后海南东社区公园-停车场,南山区后海南东社区公园,113.9412,22.5198,113.9445,22.5174,58,低风险,48,0.8
后海南南社区公园-停车场,南山区后海南南社区公园,113.9467,22.5148,113.9501,22.5124,54,中风险,45,0.9
招商北西社区公园-停车场,南山区招商北西社区公园,113.8967,22.4998,113.9001,22.4974,68,低风险,57,0.8
招商北东社区公园-停车场,南山区招商北东社区公园,113.8912,22.4948,113.8945,22.4924,62,中风险,52,0.9
招商北南社区公园-停车场,南山区招商北南社区公园,113.8967,22.4948,113.9001,22.4924,58,低风险,48,0.8
招商南西社区公园-停车场,南山区招商南西社区公园,113.8867,22.4898,113.8901,22.4874,54,中风险,45,0.9
招商南东社区公园-停车场,南山区招商南东社区公园,113.8812,22.4848,113.8845,22.4824,68,低风险,57,0.8
招商南南社区公园-停车场,南山区招商南南社区公园,113.8867,22.4848,113.8901,22.4824,62,中风险,52,0.9
蛇口北西社区公园-停车场,南山区蛇口北西社区公园,113.8867,22.4998,113.8901,22.4974,58,低风险,48,0.8
蛇口北东社区公园-停车场,南山区蛇口北东社区公园,113.8812,22.4948,113.8845,22.4924,54,中风险,45,0.9
蛇口北南社区公园-停车场,南山区蛇口北南社区公园,113.8867,22.4948,113.8901,22.4924,68,低风险,57,0.8
蛇口南西社区公园-停车场,南山区蛇口南西社区公园,113.8767,22.4898,113.8801,22.4874,62,中风险,52,0.9
蛇口南东社区公园-停车场,南山区蛇口南东社区公园,113.8712,22.4848,113.8745,22.4824,58,低风险,48,0.8
蛇口南南社区公园-停车场,南山区蛇口南南社区公园,113.8767,22.4848,113.8801,22.4874,54,中风险,45,0.9
前海北西社区公园-停车场,南山区前海北西社区公园,113.8667,22.5498,113.8701,22.5474,68,低风险,57,0.8
前海北东社区公园-停车场,南山区前海北东社区公园,113.8612,22.5448,113.8645,22.5424,62,中风险,52,0.9
前海北南社区公园-停车场,南山区前海北南社区公园,113.8667,22.5448,113.8701,22.5424,58,低风险,48,0.8
前海南西社区公园-停车场,南山区前海南西社区公园,113.8567,22.5398,113.8601,22.5374,54,中风险,45,0.9
前海南东社区公园-停车场,南山区前海南东社区公园,113.8512,22.5348,113.8545,22.5324,68,低风险,57,0.8
前海南南社区公园-停车场,南山区前海南南社区公园,113.8567,22.5348,113.8601,22.5324,62,中风险,52,0.9
桂庙北西社区公园-停车场,南山区桂庙北西社区公园,113.9167,22.5298,113.9201,22.5274,58,低风险,48,0.8
桂庙北东社区公园-停车场,南山区桂庙北东社区公园,113.9112,22.5248,113.9145,22.5224,54,中风险,45,0.9
桂庙北南社区公园-停车场,南山区桂庙北南社区公园,113.9167,22.5248,113.9201,22.5224,68,低风险,57,0.8
桂庙南西社区公园-停车场,南山区桂庙南西社区公园,113.9212,22.5198,113.9245,22.5174,62,中风险,52,0.9
桂庙南东社区公园-停车场,南山区桂庙南东社区公园,113.9167,22.5198,113.9201,22.5174,58,低风险,48,0.8
桂庙南南社区公园-停车场,南山区桂庙南南社区公园,113.9212,22.5148,113.9245,22.5124,54,中风险,45,0.9
大冲北西社区公园-停车场,南山区大冲北西社区公园,113.9267,22.5348,113.9301,22.5324,68,低风险,57,0.8
大冲北东社区公园-停车场,南山区大冲北东社区公园,113.9212,22.5298,113.9245,22.5274,62,中风险,52,0.9
大冲北南社区公园-停车场,南山区大冲北南社区公园,113.9267,22.5298,113.9301,22.5274,58,低风险,48,0.8
大冲南西社区公园-停车场,南山区大冲南西社区公园,113.9312,22.5298,113.9345,22.5274,54,中风险,45,0.9
大冲南东社区公园-停车场,南山区大冲南东社区公园,113.9267,22.5248,113.9301,22.5224,68,低风险,57,0.8
大冲南南社区公园-停车场,南山区大冲南南社区公园,113.9312,22.5248,113.9345,22.5224,62,中风险,52,0.9
沙河北西社区公园-停车场,南山区沙河北西社区公园,113.9412,22.5498,113.9445,22.5474,58,低风险,48,0.8
沙河北东社区公园-停车场,南山区沙河北东社区公园,113.9367,22.5448,113.9401,22.5424,54,中风险,45,0.9
沙河北南社区公园-停车场,南山区沙河北南社区公园,113.9412,22.5448,113.9445,22.5424,68,低风险,57,0.8
沙河南西社区公园-停车场,南山区沙河南西社区公园,113.9467,22.5398,113.9501,22.5374,62,中风险,52,0.9
沙河南东社区公园-停车场,南山区沙河南东社区公园,113.9412,22.5348,113.9445,22.5324,58,低风险,48,0.8
沙河南南社区公园-停车场,南山区沙河南南社区公园,113.9467,22.5298,113.9501,22.5274,54,中风险,45,0.9
白石洲北西社区公园-停车场,南山区白石洲北西社区公园,113.9367,22.5498,113.9401,22.5474,68,低风险,57,0.8
白石洲北东社区公园-停车场,南山区白石洲北东社区公园,113.9312,22.5448,113.9345,22.5424,62,中风险,52,0.9
白石洲北南社区公园-停车场,南山区白石洲北南社区公园,113.9367,22.5448,113.9401,22.5424,58,低风险,48,0.8
白石洲南西社区公园-停车场,南山区白石洲南西社区公园,113.9412,22.5398,113.9445,22.5374,54,中风险,45,0.9
白石洲南东社区公园-停车场,南山区白石洲南东社区公园,113.9367,22.5348,113.9401,22.5324,68,低风险,57,0.8
白石洲南南社区公园-停车场,南山区白石洲南南社区公园,113.9412,22.5348,113.9445,22.5324,62,中风险,52,0.9
西丽北西社区公园-停车场,南山区西丽北西社区公园,113.9512,22.5898,113.9545,22.5874,58,低风险,48,0.8
西丽北东社区公园-停车场,南山区西丽北东社区公园,113.9467,22.5848,113.9501,22.5824,54,中风险,45,0.9
西丽北南社区公园-停车场,南山区西丽北南社区公园,113.9512,22.5848,113.9545,22.5824,68,低风险,57,0.8
西丽南西社区公园-停车场,南山区西丽南西社区公园,113.9467,22.5798,113.9501,22.5774,62,中风险,52,0.9
